IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1,1261440000,OTHER,2008,1,CHRYSLER,PACIFICA AWD,Tou,4D SPORT TOURING,WHITE,AUTO,,,85256,AMERICAN,CROSSOVER,CHRYSLER,9962.0,11419.0,14421.0,16012.0,9962.0,11419.0,14421.0,16012.0,,,1235,84104,UT,8880.0,1,2022
1,1265328000,MANHEIM,2003,7,KIA,SORENTO 2WD,EX,4D SPORT UTILITY EX,SILVER,AUTO,1.0,Alloy,68451,OTHER ASIAN,MEDIUM SUV,OTHER,4154.0,5253.0,7027.0,8313.0,4953.0,6253.0,7986.0,9583.0,,,17675,27542,NC,6300.0,0,1808
0,1240358400,OTHER,2004,5,FORD,FREESTAR FWD V6 3.9L,S,PASSENGER 3.9L,SILVER,AUTO,2.0,Covers,94296,AMERICAN,VAN,FORD,3716.0,4933.0,4513.0,5828.0,3716.0,4933.0,4513.0,5828.0,,,835,85009,AZ,4170.0,0,1774
0,1283990400,MANHEIM,2003,7,DODGE,DURANGO 2WD V8,Spo,4D SUV 4.7L,WHITE,AUTO,1.0,Alloy,78498,AMERICAN,MEDIUM SUV,CHRYSLER,4293.0,5658.0,7647.0,8760.0,3930.0,5323.0,7242.0,8424.0,,,21973,33619,FL,6235.0,0,1689
1,1273104000,MANHEIM,2004,6,DODGE,DAKOTA PICKUP 2WD V8,SLT,QUAD CAB 4.7L SLT,WHITE,AUTO,1.0,Alloy,80722,AMERICAN,SMALL TRUCK,CHRYSLER,6612.0,8094.0,9998.0,11289.0,4853.0,7462.0,8180.0,10573.0,,,23359,92337,CA,7565.0,0,1633
0,1234828800,OTHER,2004,5,FORD,F150 PICKUP 2WD V8 4,XL,EXT CAB 4.6L STX,SILVER,AUTO,1.0,Alloy,54110,AMERICAN,LARGE TRUCK,FORD,5390.0,6367.0,6321.0,7376.0,6169.0,6976.0,7163.0,8034.0,,,20234,95673,CA,8590.0,0,671
0,1282089600,ADESA,2007,3,NISSAN,TITAN PICKUP 2WD V8,LE,EXT CAB 5.6L LE,RED,AUTO,2.0,Covers,59509,TOP LINE ASIAN,LARGE TRUCK,OTHER,8929.0,10827.0,13566.0,15346.0,8348.0,10214.0,13172.0,15009.0,,,21053,85226,AZ,10680.0,0,1003
0,1259020800,ADESA,2007,2,CHRYSLER,PT CRUISER,Bas,4D SEDAN,RED,AUTO,2.0,Covers,44646,AMERICAN,MEDIUM,CHRYSLER,5380.0,6264.0,6310.0,7265.0,5690.0,6677.0,9332.0,10090.0,,,18822,78754,TX,5605.0,0,975
0,1235952000,MANHEIM,2005,4,HYUNDAI,SONATA 4C 2.4L I4 MP,GL,4D SEDAN,WHITE,AUTO,1.0,Alloy,64274,OTHER ASIAN,MEDIUM,OTHER,4308.0,5312.0,5153.0,6237.0,3527.0,4294.0,4309.0,5138.0,,,19619,37210,TN,5750.0,0,728
0,1258416000,ADESA,2008,1,CHEVROLET,MALIBU 4C,LS,4D SEDAN LS,GOLD,AUTO,1.0,Alloy,41013,AMERICAN,MEDIUM,GM,9718.0,10424.0,10995.0,11758.0,9920.0,10696.0,14023.0,14957.0,,,20833,78754,TX,9130.0,0,764
0,1258329600,ADESA,2004,5,JEEP,GRAND CHEROKEE 2WD 6,Lar,4D WAGON,BLUE,AUTO,1.0,Alloy,79868,AMERICAN,MEDIUM SUV,CHRYSLER,5328.0,6569.0,6254.0,7595.0,6569.0,7765.0,10353.0,12089.0,,,5546,33619,FL,7000.0,0,1740
0,1281657600,OTHER,2007,3,MITSUBISHI,GALANT 4C,ES,4D SEDAN,WHITE,AUTO,2.0,Covers,77139,OTHER ASIAN,MEDIUM,OTHER,6844.0,7952.0,10609.0,11706.0,7696.0,8854.0,11127.0,12194.0,,,20740,29461,SC,8200.0,0,569
0,1241654400,MANHEIM,2005,4,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GREEN,AUTO,1.0,Alloy,67159,AMERICAN,MEDIUM,FORD,3688.0,4783.0,4483.0,5666.0,3688.0,4783.0,4483.0,5666.0,,,18881,29532,SC,4175.0,0,825
0,1251763200,MANHEIM,2003,6,FORD,FOCUS 2.0L I4 SPI,SE,4D SEDAN SE,GOLD,AUTO,1.0,Alloy,71641,AMERICAN,COMPACT,FORD,2699.0,3702.0,3415.0,4498.0,2867.0,3690.0,3596.0,4485.0,,,20740,32124,FL,4100.0,0,1455
0,1242777600,MANHEIM,2004,5,FORD,FREESTAR FWD V6 3.9L,SE,PASSENGER 3.9L LX,GOLD,AUTO,2.0,Covers,66121,AMERICAN,VAN,FORD,4041.0,5420.0,4864.0,6354.0,3903.0,5086.0,4715.0,5993.0,,,18822,78219,TX,5235.0,0,1313
0,1292457600,ADESA,2004,6,CHEVROLET,COLORADO PICKUP 2WD,LS,CREW CAB 3.5L LS,SILVER,AUTO,1.0,Alloy,83070,AMERICAN,SMALL TRUCK,GM,6892.0,7995.0,10450.0,11298.0,6578.0,8522.0,10112.0,11649.0,,,17675,28273,NC,7270.0,0,853
0,1263254400,ADESA,2004,6,PONTIAC,GRAND PRIX,GT,4D SEDAN GT,GREY,AUTO,1.0,Alloy,84575,AMERICAN,LARGE,GM,3960.0,5044.0,7361.0,8473.0,3938.0,5018.0,7636.0,8733.0,,,19662,78754,TX,6315.0,0,2152
0,1274918400,MANHEIM,2003,7,TOYOTA,COROLLA,CE,4D SEDAN CE,BLACK,AUTO,1.0,Alloy,77059,TOP LINE ASIAN,COMPACT,OTHER,4269.0,5000.0,5477.0,7186.0,4259.0,5057.0,6795.0,8178.0,,,18111,30272,GA,5545.0,0,869
