IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
0,1257292800,ADESA,2006,3,FORD,FIVE HUNDRED,SE,4D SEDAN SE,BLUE,AUTO,1.0,Alloy,62725,AMERICAN,LARGE,FORD,6088.0,7038.0,7075.0,8101.0,7091.0,8072.0,10653.0,11656.0,,,21053,85226,AZ,8245.0,0,1313
0,1241049600,OTHER,2003,6,CHRYSLER,VOYAGER FWD 4C 2.4L,LX,MINIVAN 2.4L LX,SILVER,AUTO,2.0,Covers,81661,AMERICAN,VAN,CHRYSLER,2866.0,3798.0,3595.0,4602.0,2866.0,3798.0,3595.0,4602.0,,,99761,85018,AZ,3600.0,0,2063
0,1280793600,MANHEIM,2004,6,CHRYSLER,PT CRUISER,Tou,4D SEDAN TOURING,BLUE,AUTO,1.0,Alloy,78663,AMERICAN,MEDIUM,CHRYSLER,3816.0,4843.0,7354.0,8839.0,3349.0,4265.0,6396.0,7401.0,,,16044,21075,MD,4550.0,0,1389
0,1239235200,MANHEIM,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,WHITE,AUTO,1.0,Alloy,78026,AMERICAN,MEDIUM,CHRYSLER,4297.0,5635.0,5141.0,6586.0,4297.0,5635.0,5141.0,6586.0,,,21053,92337,CA,4230.0,0,1155
1,1282089600,OTHER,2006,4,FORD,TAURUS,SE,4D SEDAN SE,GOLD,AUTO,2.0,Covers,51975,AMERICAN,MEDIUM,FORD,4233.0,5587.0,7666.0,8694.0,4216.0,5578.0,7533.0,8973.0,,,19638,35004,AL,5500.0,0,754
0,1255996800,MANHEIM,2006,3,CHEVROLET,EQUINOX FWD V6 3.4L,LT,4D SUV LT,MAROON,AUTO,1.0,Alloy,79678,AMERICAN,MEDIUM SUV,GM,9146.0,11182.0,10378.0,12577.0,9319.0,11409.0,13828.0,16245.0,,,22916,80022,CO,7580.0,0,1389
0,1277164800,MANHEIM,2005,5,HYUNDAI,ACCENT,GLS,4D SEDAN GLS,GREEN,AUTO,2.0,Covers,55700,OTHER ASIAN,COMPACT,OTHER,2923.0,3967.0,5987.0,7363.0,2933.0,3921.0,5869.0,6622.0,,,20234,97217,OR,5835.0,0,754
0,1259107200,MANHEIM,2005,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN TOURING,RED,AUTO,2.0,Covers,70041,AMERICAN,MEDIUM,CHRYSLER,4085.0,4995.0,4912.0,5895.0,3939.0,4781.0,7575.0,8497.0,,,20207,75236,TX,4610.0,0,1389
0,1260835200,ADESA,2006,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,SILVER,AUTO,1.0,Alloy,67009,AMERICAN,MEDIUM,CHRYSLER,4414.0,5511.0,7951.0,9574.0,4732.0,5901.0,7990.0,9166.0,,,20207,78754,TX,5810.0,0,1020
0,1253232000,MANHEIM,2004,5,FORD,EXPEDITION 4WD V8 5.,XLT,4D SUV 5.4L XLT,WHITE,AUTO,1.0,Alloy,92609,AMERICAN,LARGE SUV,FORD,8812.0,10643.0,10017.0,11994.0,9013.0,10951.0,13369.0,15337.0,,,835,85040,AZ,10140.0,0,1630
0,1287446400,OTHER,2006,4,HONDA,ACCORD 4C,LX,2D COUPE LX AUTO,RED,AUTO,1.0,Alloy,71538,TOP LINE ASIAN,MEDIUM,OTHER,8142.0,10046.0,11666.0,14017.0,7773.0,9227.0,12003.0,13406.0,,,21053,95673,CA,9805.0,0,569
0,1236902400,OTHER,2006,3,DODGE,CARAVAN,SE,BASE,SILVER,AUTO,2.0,Covers,81469,AMERICAN,VAN,CHRYSLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20740,29461,SC,4800.0,0,1763
0,1290470400,ADESA,2008,2,CHRYSLER,TOWN & COUNTRY FWD V,LX,MINIVAN 3.8L,BLUE,AUTO,2.0,Covers,90294,AMERICAN,VAN,CHRYSLER,8961.0,10611.0,12781.0,14551.0,9839.0,11104.0,13815.0,15027.0,,,1231,55369,MN,8235.0,1,1918
0,1272931200,OTHER,2005,5,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,BLUE,AUTO,1.0,Alloy,69255,AMERICAN,MEDIUM,GM,5049.0,6357.0,8001.0,9534.0,5016.0,6473.0,8404.0,10154.0,,,1235,84104,UT,7475.0,1,1118
0,1238025600,ADESA,2004,5,GMC,ENVOY 4WD 6C 4.2L I6,SLE,4D UTILITY 4.2L,GREY,AUTO,1.0,Alloy,72757,AMERICAN,MEDIUM SUV,GM,9224.0,10397.0,10462.0,11729.0,7891.0,9398.0,9022.0,10650.0,,,17675,28273,NC,7645.0,0,1974
0,1270512000,OTHER,2008,2,CHRYSLER,PT CRUISER,Bas,4D SEDAN,RED,AUTO,2.0,Covers,47761,AMERICAN,MEDIUM,CHRYSLER,7342.0,7851.0,10457.0,10931.0,6949.0,7818.0,10167.0,11231.0,,,99761,74135,OK,6800.0,0,975
1,1242259200,MANHEIM,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,BLACK,AUTO,2.0,Covers,81822,AMERICAN,LARGE,GM,4573.0,5967.0,5439.0,6944.0,4573.0,5967.0,5439.0,6944.0,,,23359,92337,CA,5250.0,0,2152
0,1289952000,MANHEIM,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,BLACK,AUTO,2.0,Covers,83141,AMERICAN,LARGE,GM,7845.0,8694.0,11713.0,12629.0,7737.0,8893.0,11957.0,13225.0,,,19638,33809,FL,8350.0,0,2152
0,1287532800,OTHER,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,WHITE,AUTO,2.0,Covers,78967,AMERICAN,LARGE,GM,7541.0,8751.0,10660.0,11937.0,6814.0,7885.0,10481.0,11725.0,,,99750,83687,ID,6500.0,0,1974
0,1256688000,MANHEIM,2008,1,DODGE,AVENGER 4C 2.4L I4 S,SE,4D SEDAN,ORANGE,AUTO,2.0,Covers,46298,AMERICAN,MEDIUM,CHRYSLER,7893.0,8711.0,9024.0,9908.0,8419.0,9318.0,12029.0,12635.0,,,20207,75236,TX,8240.0,0,834
0,1288137600,MANHEIM,2007,3,SUZUKI,FORENZA,,4D SEDAN,BLUE,AUTO,2.0,Covers,45474,OTHER ASIAN,MEDIUM,OTHER,4324.0,5261.0,7744.0,9422.0,4417.0,5536.0,8001.0,9460.0,,,18881,37122,TN,5525.0,0,482
1,1234828800,ADESA,2004,5,DODGE,STRATUS V6 2.7L V6 M,SE,4D SEDAN,RED,AUTO,,,65282,AMERICAN,MEDIUM,CHRYSLER,3089.0,4009.0,3836.0,4830.0,3089.0,4009.0,3836.0,4830.0,,,22916,50111,IA,4690.0,0,1215
1,1254182400,MANHEIM,2004,5,SATURN,L SERIES 3.0L V6 EFI,L30,4D SEDAN L300,MAROON,AUTO,1.0,Alloy,93074,AMERICAN,MEDIUM,GM,4063.0,5545.0,4888.0,6489.0,3984.0,5427.0,4803.0,6361.0,,,21973,19440,PA,4235.0,0,2639
1,1266969600,OTHER,2005,5,CHEVROLET,AVEO,LS,4D SEDAN,RED,AUTO,2.0,Covers,57836,AMERICAN,COMPACT,GM,3204.0,4128.0,6242.0,7095.0,3401.0,4218.0,6099.0,7122.0,,,17675,27407,NC,5000.0,0,671
0,1291852800,OTHER,2005,5,FORD,TAURUS,SE,4D SEDAN SE,GREY,AUTO,2.0,Covers,65495,AMERICAN,MEDIUM,FORD,3132.0,4146.0,6538.0,7092.0,3740.0,4840.0,6317.0,7853.0,NO,GREEN,22808,73108,OK,6045.0,0,825
