stage,model,seconds,threshold,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,business_value,business_value_per_case,positive_rate
advanced_sprint4,Bagging_DecisionTree,0.4,0.5,0.7966666666666666,0.29545454545454547,0.46846846846846846,0.3623693379790941,0.41935483870967744,0.7146462051405018,0.3730526782836222,665,124,59,52,151900.0,168.77777777777777,0.19555555555555557
tuned_sprint4,XGBoost_random_search,0.1,0.5,0.7822222222222223,0.28205128205128205,0.4954954954954955,0.35947712418300654,0.4303599374021909,0.7189623083159205,0.4225359249885734,649,140,56,55,148900.0,165.44444444444446,0.21666666666666667
advanced_sprint4,LightGBM_baseline,0.1,0.5,0.8144444444444444,0.31333333333333335,0.42342342342342343,0.36015325670498083,0.3956228956228956,0.7179575012274633,0.4077120874341073,686,103,64,47,148400.0,164.88888888888889,0.16666666666666666
ensembles_sprint4,Voting_soft_LR_RF_LGBM,0.3,0.5,0.79,0.2857142857142857,0.46846846846846846,0.35494880546075086,0.41533546325878595,0.7280169903744049,0.3773648562637438,659,130,59,52,142900.0,158.77777777777777,0.20222222222222222
tuned_sprint4,LightGBM_Optuna_TPE,0.1,0.5,0.7644444444444445,0.2672811059907834,0.5225225225225225,0.35365853658536583,0.43872919818456885,0.740223112846687,0.4243611472981264,630,159,53,58,141400.0,157.11111111111111,0.2411111111111111
advanced_sprint4,XGBoost_baseline,0.1,0.5,0.7533333333333333,0.2576419213973799,0.5315315315315315,0.34705882352941175,0.43833580980683506,0.7176035350940293,0.3921826504361029,619,170,52,59,131900.0,146.55555555555554,0.2544444444444444
tuned_sprint4,RandomForest_random_search,0.2,0.5,0.7688888888888888,0.2634146341463415,0.4864864864864865,0.34177215189873417,0.41602465331278893,0.7383276812934608,0.3676532099503118,638,151,57,54,125400.0,139.33333333333334,0.22777777777777777
ensembles_sprint4,Stacking_RF_LGBM_LR,0.8,0.5,0.6766666666666666,0.22727272727272727,0.6756756756756757,0.3401360544217687,0.4844961240310077,0.732846915356421,0.41222486046880685,534,255,36,75,116400.0,129.33333333333334,0.36666666666666664
baseline_sprint3,DecisionTree_baseline,0.2,0.5,0.8311111111111111,0.3217391304347826,0.3333333333333333,0.3274336283185841,0.33094812164579607,0.6172370088719898,0.1894685990338164,711,78,74,37,115900.0,128.77777777777777,0.12777777777777777
baseline_sprint3,RandomForest_baseline,0.2,0.5,0.8888888888888888,0.72,0.16216216216216217,0.2647058823529412,0.19189765458422176,0.676914557142694,0.34625224224656204,782,7,93,18,89400.0,99.33333333333333,0.027777777777777776
tuned_sprint4,DecisionTree_random_search,0.1,0.5,0.6677777777777778,0.21515151515151515,0.6396396396396397,0.3219954648526077,0.458656330749354,0.7056999965745213,0.3508463962606624,530,259,40,71,82400.0,91.55555555555556,0.36666666666666664
tuned_sprint4,LogisticRegression_random_search,0.1,0.5,0.6911111111111111,0.21107266435986158,0.5495495495495496,0.305,0.41609822646657574,0.7109581063953687,0.3497681520083825,561,228,50,61,58900.0,65.44444444444444,0.3211111111111111
baseline_sprint3,SVM_baseline,0.4,0.5,0.85,0.3181818181818182,0.1891891891891892,0.23728813559322035,0.20588235294117646,0.6716336107971088,0.2884595946389996,744,45,90,21,53400.0,59.333333333333336,0.07333333333333333
baseline_sprint3,KNN_baseline,0.1,0.5,0.8,0.23255813953488372,0.2702702702702703,0.25,0.2617801047120419,0.661322919878053,0.21666208956747712,690,99,81,30,35400.0,39.333333333333336,0.14333333333333334
baseline_sprint3,LogisticRegression_baseline,0.1,0.5,0.6555555555555556,0.1861198738170347,0.5315315315315315,0.2757009345794392,0.3876478318002628,0.6714052455497322,0.32508309050652695,531,258,52,59,-100.0,-0.1111111111111111,0.3522222222222222
