threshold,tn,fp,fn,tp,tn_value,fp_value,fn_value,tp_value,business_value,avg_value_per_vehicle,recall,f2,precision,f1,f05,positive_rate,fn_rate,fp_rate,predicted_bad_buy,predicted_good_buy,roc_auc,average_precision
0.7,12171,631,1136,659,0,-567900,0,1647500,1079600,73.96040282249777,0.3671309192200557,0.38902007083825263,0.5108527131782946,0.4272285251215559,0.47375988497483823,0.08837432349112831,0.6328690807799443,0.049289173566630214,1290,13307,0.7677792771759635,0.4431968904841776
0.68,12051,751,1097,698,0,-675900,0,1745000,1069100,73.2410769336165,0.388857938718663,0.4044501100938695,0.48171152518978605,0.43033292231812575,0.4597549729943354,0.09926697266561622,0.6111420612813371,0.058662708951726296,1449,13148,0.7677792771759635,0.4431968904841776
0.71,12209,593,1155,640,0,-533700,0,1600000,1066300,73.0492566965815,0.3565459610027855,0.380363722809937,0.519059205190592,0.4227212681638045,0.47569496060651106,0.08446941152291566,0.6434540389972145,0.04632088736134979,1233,13364,0.7677792771759635,0.4431968904841776
0.75,12394,408,1222,573,0,-367200,0,1432500,1065300,72.98074946906898,0.3192200557103064,0.3510599191275579,0.5840978593272171,0.4128242074927954,0.5009617065920615,0.06720559018976502,0.6807799442896936,0.03187002030932667,981,13616,0.7677792771759635,0.4431968904841776
0.69,12116,686,1122,673,0,-617400,0,1682500,1065100,72.96704802356649,0.37493036211699166,0.39407424756997306,0.4952170713760118,0.42675967025998734,0.4653574885907897,0.09310132218949099,0.6250696378830084,0.05358537728479925,1359,13238,0.7677792771759635,0.4431968904841776
0.67,11984,818,1080,715,0,-736200,0,1787500,1051300,72.02164828389395,0.3983286908077994,0.41030643865488353,0.4664057403783431,0.4296875,0.45099028636306293,0.10502157977666644,0.6016713091922006,0.06389626620840494,1533,13064,0.7677792771759635,0.4431968904841776
0.74,12346,456,1211,584,0,-410400,0,1460000,1049600,71.9051859971227,0.3253481894150418,0.35523114355231145,0.5615384615384615,0.41199294532627867,0.4903442485306465,0.07124751661300267,0.6746518105849583,0.0356194344633651,1040,13557,0.7677792771759635,0.4431968904841776
0.78,12481,321,1260,535,0,-288900,0,1337500,1048600,71.83667876961019,0.298050139275766,0.3328770532603285,0.625,0.4036212749905696,0.5125502969917609,0.0586421867507022,0.7019498607242339,0.02507420715513201,856,13741,0.7677792771759635,0.4431968904841776
0.76,12417,385,1238,557,0,-346500,0,1392500,1046000,71.65855997807769,0.3103064066852368,0.34289583846343263,0.5912951167728238,0.40701497990500546,0.5006291569297142,0.06453380831677742,0.6896935933147632,0.030073426027183253,942,13655,0.7677792771759635,0.4431968904841776
0.73,12296,506,1195,600,0,-455400,0,1500000,1044600,71.56264985956018,0.3342618384401114,0.3620564808110065,0.5424954792043399,0.4136504653567735,0.482392667631452,0.07576899362882784,0.6657381615598886,0.039525074207155134,1106,13491,0.7677792771759635,0.4431968904841776
0.77,12448,354,1250,545,0,-318600,0,1362500,1043900,71.51469480030143,0.30362116991643456,0.3372942195816314,0.6062291434927698,0.4046028210838901,0.5054720831014654,0.06158799753373981,0.6963788300835655,0.027651929386033433,899,13698,0.7677792771759635,0.4431968904841776
0.72,12247,555,1178,617,0,-499500,0,1542500,1043000,71.45303829554018,0.34373259052924793,0.3693726053639847,0.5264505119453925,0.4159083249073138,0.4758599413851612,0.08029047064465301,0.6562674094707521,0.04335260115606936,1172,13425,0.7677792771759635,0.4431968904841776
0.79,12504,298,1274,521,0,-268200,0,1302500,1034300,70.8570254161814,0.2902506963788301,0.3256657082135267,0.6361416361416361,0.39862280030604436,0.5137053835535398,0.056107419332739605,0.70974930362117,0.023277612872988594,819,13778,0.7677792771759635,0.4431968904841776
0.8,12524,278,1291,504,0,-250200,0,1260000,1009800,69.1785983421251,0.2807799442896936,0.3165033911077619,0.6445012787723785,0.3911525029103609,0.5118829981718465,0.05357265191477701,0.7192200557103064,0.021715356975472583,782,13815,0.7677792771759635,0.4431968904841776
0.66,11913,889,1072,723,0,-800100,0,1807500,1007400,69.01418099609509,0.40278551532033424,0.4111692447679709,0.4485111662531017,0.4244203111241561,0.4385539245420357,0.11043365075015414,0.5972144846796658,0.06944227464458679,1612,12985,0.7677792771759635,0.4431968904841776
0.81,12542,260,1308,487,0,-234000,0,1217500,983500,67.37685825854628,0.2713091922005571,0.30717799924309325,0.6519410977242303,0.3831628638867034,0.5090947104327828,0.051174898951839416,0.728690807799443,0.02030932666770817,747,13850,0.7677792771759635,0.4431968904841776
0.65,11830,972,1053,742,0,-874800,0,1855000,980200,67.15078440775501,0.4133704735376045,0.4171351472903081,0.4329054842473746,0.42291251068680535,0.4288521558201364,0.11742138795642941,0.5866295264623955,0.07592563661927824,1714,12883,0.7677792771759635,0.4431968904841776
0.82,12562,240,1320,475,0,-216000,0,1187500,971500,66.55477152839624,0.2646239554317549,0.30082330588980366,0.6643356643356644,0.3784860557768924,0.5102040816326531,0.048982667671439335,0.7353760445682451,0.018747070770192158,715,13882,0.7677792771759635,0.4431968904841776
0.64,11751,1051,1034,761,0,-945900,0,1902500,956600,65.53401383845996,0.42395543175487466,0.4231539145907473,0.41997792494481234,0.42195730523981145,0.42076744443215747,0.12413509625265466,0.5760445682451254,0.0820965474144665,1812,12785,0.7677792771759635,0.4431968904841776
0.83,12570,232,1330,465,0,-208800,0,1162500,953700,65.3353428786737,0.2590529247910863,0.2951631331725276,0.667144906743185,0.37319422150882825,0.5073096225180013,0.04774953757621429,0.7409470752089137,0.018122168411185753,697,13900,0.7677792771759635,0.4431968904841776
0.63,11660,1142,1005,790,0,-1027800,0,1975000,947200,64.89004589984243,0.4401114206128134,0.4334942932396839,0.40890269151138714,0.42393345854574727,0.4147852567468235,0.13235596355415497,0.5598885793871866,0.08920481174816434,1932,12665,0.7677792771759635,0.4431968904841776
0.84,12587,215,1344,451,0,-193500,0,1127500,934000,63.9857504966774,0.2512534818941504,0.287407596227377,0.6771771771771772,0.36651767574156846,0.5057187710248935,0.04562581352332671,0.7487465181058496,0.01679425089829714,666,13931,0.7677792771759635,0.4431968904841776
0.86,12626,176,1360,435,0,-158400,0,1087500,929100,63.65006508186614,0.24233983286908078,0.2791682710820177,0.7119476268412439,0.36159600997506236,0.5130927105449399,0.04185791601013907,0.7576601671309192,0.013747851898140916,611,13986,0.7677792771759635,0.4431968904841776
0.87,12636,166,1368,427,0,-149400,0,1067500,918100,62.89648557922861,0.23788300835654597,0.274668725073974,0.7200674536256324,0.3576214405360134,0.5123590112790977,0.04062478591491402,0.762116991643454,0.012966723949382909,593,14004,0.7677792771759635,0.4431968904841776
0.85,12602,200,1357,438,0,-180000,0,1095000,915000,62.68411317393985,0.24401114206128133,0.28012279355333847,0.6865203761755486,0.3600493218249075,0.5037957211870255,0.04370761115297664,0.7559888579387186,0.015622558975160131,638,13959,0.7677792771759635,0.4431968904841776
0.88,12648,154,1379,416,0,-138600,0,1040000,901400,61.752414879769816,0.23175487465181058,0.26838709677419353,0.7298245614035088,0.3517970401691332,0.5104294478527608,0.03904911968212647,0.7682451253481895,0.012029370410873302,570,14027,0.7677792771759635,0.4431968904841776
0.62,11558,1244,987,808,0,-1119600,0,2020000,900400,61.68390765225731,0.4501392757660167,0.4376083188908146,0.3937621832358674,0.4200675851312711,0.40387883634909527,0.14057683085565528,0.5498607242339832,0.09717231682549601,2052,12545,0.7677792771759635,0.4431968904841776
0.89,12665,137,1390,405,0,-123300,0,1012500,889200,60.916626704117284,0.22562674094707522,0.26223776223776224,0.7472324723247232,0.3465982028241335,0.5109765329295988,0.037130917311776396,0.7743732590529248,0.01070145289798469,542,14055,0.7677792771759635,0.4431968904841776
0.9,12678,124,1396,399,0,-111600,0,997500,885900,60.690552853326025,0.2222841225626741,0.25899000389458654,0.762906309751434,0.3442622950819672,0.5132492925135066,0.03582927998903884,0.777715877437326,0.009685986564599281,523,14074,0.7677792771759635,0.4431968904841776
