model,threshold,tn,fp,fn,tp,recall,f2,precision,f1,f05,fn_rate,fp_rate,business_value,positive_rate,score_type
HistGradientBoosting,0.01,0,17540,0,2460,1.0,0.4121983914209115,0.123,0.21905609973285842,0.14916323065728837,0.0,1.0,-9636000,1.0,predict_proba
HistGradientBoosting,0.02,70,17470,0,2460,1.0,0.4131676184077931,0.12343201204214752,0.21974095578383207,0.14967145290825018,0.0,0.9960091220068416,-9573000,0.9965,predict_proba
HistGradientBoosting,0.03,885,16655,20,2440,0.991869918699187,0.42163469846207013,0.1277821419219691,0.22639758756668987,0.15474378488077117,0.008130081300813009,0.9495438996579247,-8889500,0.95475,predict_proba
HistGradientBoosting,0.04,2404,15136,68,2392,0.9723577235772358,0.4370067231803566,0.13646736649931537,0.2393436061636982,0.16480185195392164,0.027642276422764227,0.8629418472063854,-7642400,0.8764,predict_proba
HistGradientBoosting,0.05,4272,13268,161,2299,0.9345528455284553,0.4524343684811272,0.14768420376437336,0.255061851666944,0.1775892967494747,0.06544715447154471,0.7564424173318129,-6193700,0.77835,predict_proba
HistGradientBoosting,0.06,6192,11348,256,2204,0.8959349593495934,0.47110123119015046,0.1626328217237308,0.2752935298526105,0.19446601256441026,0.1040650406504065,0.6469783352337515,-4703200,0.6776,predict_proba
HistGradientBoosting,0.07,7919,9621,380,2080,0.8455284552845529,0.4828002414001207,0.1777625843944962,0.29376456464938916,0.2111075024358558,0.15447154471544716,0.5485176738882555,-3458900,0.58505,predict_proba
HistGradientBoosting,0.08,9487,8053,513,1947,0.7914634146341464,0.49067540322580644,0.1947,0.31252006420545747,0.22927461139896374,0.20853658536585365,0.4591220068415051,-2380200,0.5,predict_proba
HistGradientBoosting,0.09,10736,6804,634,1826,0.7422764227642277,0.49431510557661074,0.2115874855156431,0.32930568079350764,0.24689021092482422,0.2577235772357724,0.3879133409350057,-1558600,0.4315,predict_proba
HistGradientBoosting,0.1,11799,5741,752,1708,0.6943089430894309,0.49395569437214415,0.22929252248623977,0.34473710767988697,0.2647569444444444,0.3056910569105691,0.327309007981756,-896900,0.37245,predict_proba
HistGradientBoosting,0.11,12668,4872,859,1601,0.6508130081300812,0.49071292833936125,0.24733508419589062,0.35844621067950294,0.2823433972911964,0.3491869918699187,0.2777651083238312,-382300,0.32365,predict_proba
HistGradientBoosting,0.12,13411,4129,957,1503,0.6109756097560975,0.4857161323681489,0.2668678977272727,0.37147800296589223,0.3007443572914999,0.38902439024390245,0.2354047890535918,41400,0.2816,predict_proba
HistGradientBoosting,0.13,14043,3497,1063,1397,0.5678861788617886,0.47407357133161393,0.2854515733551287,0.3799292901822138,0.316981303321837,0.4321138211382114,0.19937286202964652,345200,0.2447,predict_proba
HistGradientBoosting,0.14,14532,3008,1151,1309,0.5321138211382114,0.46231546231546233,0.3032198285846653,0.3863066253504501,0.33176196269261965,0.4678861788617886,0.17149372862029647,565300,0.21585,predict_proba
HistGradientBoosting,0.15,14960,2580,1223,1237,0.5028455284552845,0.45288130628981477,0.32407649986900705,0.3941373267484467,0.34888312274368233,0.4971544715447154,0.14709236031927023,770500,0.19085,predict_proba
HistGradientBoosting,0.16,15316,2224,1295,1165,0.4735772357723577,0.44032050797490363,0.34375922100914724,0.3983586937938109,0.3636988011988012,0.5264227642276422,0.12679589509692132,910900,0.16945,predict_proba
HistGradientBoosting,0.17,15639,1901,1364,1096,0.44552845528455287,0.4268910181506583,0.365699032365699,0.40168590800806303,0.37929125138427466,0.5544715447154471,0.10838084378563284,1029100,0.14985,predict_proba
HistGradientBoosting,0.18,15876,1664,1418,1042,0.42357723577235773,0.41527179977682127,0.385070214338507,0.40340689121176926,0.39220114423366453,0.5764227642276423,0.09486887115165336,1107400,0.1353,predict_proba
HistGradientBoosting,0.19,16088,1452,1466,994,0.4040650406504065,0.4045254761517174,0.4063777596075225,0.40521810028536487,0.40591310029402156,0.5959349593495935,0.08278221208665906,1178200,0.1223,predict_proba
HistGradientBoosting,0.2,16256,1284,1501,959,0.38983739837398373,0.39683853347678555,0.427552385198395,0.40782479268551985,0.4194366689993002,0.6101626016260162,0.07320410490307867,1241900,0.11215,predict_proba
HistGradientBoosting,0.21,16400,1140,1533,927,0.37682926829268293,0.3892668178382464,0.44847605224963716,0.4095427435387674,0.4320469798657718,0.6231707317073171,0.06499429874572406,1291500,0.10335,predict_proba
HistGradientBoosting,0.22,16526,1014,1571,889,0.3613821138211382,0.37852337562803373,0.46715712033631107,0.4075177630071052,0.44132247815726766,0.6386178861788618,0.05781071835803877,1309900,0.09515,predict_proba
HistGradientBoosting,0.23,16629,911,1604,856,0.34796747967479674,0.36874299991384507,0.4844368986983588,0.4050153773361722,0.44920235096557515,0.6520325203252032,0.05193842645381984,1320100,0.08835,predict_proba
HistGradientBoosting,0.24,16729,811,1634,826,0.3357723577235772,0.3598501350527141,0.5045815516188149,0.40322186966072737,0.45848134991119005,0.6642276422764227,0.046237172177879135,1335100,0.08185,predict_proba
HistGradientBoosting,0.25,16797,743,1657,803,0.32642276422764227,0.3526260319690848,0.5194049159120311,0.40089865202196706,0.4644840351689033,0.6735772357723577,0.04236031927023945,1338800,0.0773,predict_proba
HistGradientBoosting,0.26,16866,674,1671,789,0.3207317073170732,0.34902238343802533,0.5393028024606972,0.40224318123884784,0.47461501443695864,0.6792682926829269,0.03842645381984036,1365900,0.07315,predict_proba
HistGradientBoosting,0.27,16927,613,1691,769,0.3126016260162602,0.3426305471395473,0.5564399421128798,0.40031233732431026,0.4813470205307962,0.6873983739837398,0.03494868871151653,1370800,0.0691,predict_proba
HistGradientBoosting,0.28,16974,566,1704,756,0.3073170731707317,0.33864898763662427,0.5718608169440242,0.39978847170809095,0.48786783686112545,0.6926829268292682,0.0322690992018244,1380600,0.0661,predict_proba
HistGradientBoosting,0.29,17019,521,1717,743,0.3020325203252033,0.33456412103746397,0.5878164556962026,0.39903329752953814,0.4942788717402874,0.6979674796747968,0.029703534777651083,1388600,0.0632,predict_proba
HistGradientBoosting,0.3,17061,479,1725,735,0.29878048780487804,0.3324588384295278,0.6054365733113674,0.4001088731627654,0.5023236741388737,0.7012195121951219,0.027309007981755985,1406400,0.0607,predict_proba
HistGradientBoosting,0.31,17090,450,1740,720,0.2926829268292683,0.32697547683923706,0.6153846153846154,0.39669421487603307,0.5042016806722689,0.7073170731707317,0.02565564424173318,1395000,0.0585,predict_proba
HistGradientBoosting,0.32,17121,419,1748,712,0.2894308943089431,0.32449184212924986,0.6295313881520778,0.3965469228627123,0.5097365406643757,0.7105691056910569,0.02388825541619156,1402900,0.05655,predict_proba
HistGradientBoosting,0.33,17157,383,1756,704,0.2861788617886179,0.32213782373936123,0.6476540938362465,0.39695517338596,0.5170387779083431,0.7138211382113822,0.021835803876852907,1415300,0.05435,predict_proba
HistGradientBoosting,0.34,17187,353,1765,695,0.28252032520325204,0.31915870683321085,0.6631679389312977,0.3962371721778791,0.5223992784125076,0.717479674796748,0.020125427594070697,1419800,0.0524,predict_proba
HistGradientBoosting,0.35,17204,336,1776,684,0.2780487804878049,0.3149171270718232,0.6705882352941176,0.3931034482758621,0.5229357798165137,0.7219512195121951,0.019156214367160775,1407600,0.051,predict_proba
HistGradientBoosting,0.36,17224,316,1780,680,0.2764227642276423,0.3137689184200812,0.6827309236947792,0.39351851851851855,0.5276225946617008,0.7235772357723578,0.018015963511972634,1415600,0.0498,predict_proba
HistGradientBoosting,0.37,17243,297,1786,674,0.2739837398373984,0.3117195449079641,0.694129763130793,0.39288837073739435,0.5312105926860026,0.7260162601626017,0.016932725199543898,1417700,0.04855,predict_proba
HistGradientBoosting,0.38,17262,278,1791,669,0.27195121951219514,0.3100954853063873,0.706441393875396,0.3927208687995304,0.535371318822023,0.7280487804878049,0.015849486887115165,1422300,0.04735,predict_proba
HistGradientBoosting,0.39,17278,262,1798,662,0.26910569105691057,0.30750650315867706,0.7164502164502164,0.3912529550827423,0.5376868096166342,0.7308943089430894,0.014937286202964653,1419200,0.0462,predict_proba
HistGradientBoosting,0.4,17295,245,1804,656,0.26666666666666666,0.3053719392980169,0.7280799112097669,0.3903600119012199,0.5408970976253298,0.7333333333333333,0.013968072976054732,1419500,0.04505,predict_proba
HistGradientBoosting,0.41,17311,229,1814,646,0.26260162601626014,0.3014465702286514,0.7382857142857143,0.38740629685157424,0.5419463087248322,0.7373983739837399,0.01305587229190422,1408900,0.04375,predict_proba
HistGradientBoosting,0.42,17322,218,1817,643,0.2613821138211382,0.30043921128866463,0.7468060394889663,0.3872327612165011,0.5445460704607046,0.7386178861788618,0.012428734321550741,1411300,0.04305,predict_proba
HistGradientBoosting,0.43,17337,203,1819,641,0.2605691056910569,0.2999812804193186,0.759478672985782,0.3880145278450363,0.5491775188485264,0.739430894308943,0.011573546180159634,1419800,0.0422,predict_proba
HistGradientBoosting,0.44,17348,192,1825,635,0.258130081300813,0.29764694853285834,0.7678355501813785,0.38637055065409187,0.5504507628294036,0.741869918699187,0.010946408209806158,1414700,0.04135,predict_proba
HistGradientBoosting,0.45,17358,182,1828,632,0.25691056910569104,0.2966022151304674,0.7764127764127764,0.3860720830788027,0.5528341497550735,0.7430894308943089,0.010376282782212087,1416200,0.0407,predict_proba
HistGradientBoosting,0.46,17373,167,1833,627,0.2548780487804878,0.2948091028775625,0.7896725440806045,0.38537185003073143,0.5562455642299503,0.7451219512195122,0.00952109464082098,1417200,0.0397,predict_proba
HistGradientBoosting,0.47,17377,163,1836,624,0.25365853658536586,0.29359179448574385,0.7928843710292249,0.38435478903603326,0.5563480741797432,0.7463414634146341,0.009293044469783353,1413300,0.03935,predict_proba
HistGradientBoosting,0.48,17383,157,1840,620,0.25203252032520324,0.29198455307525667,0.797940797940798,0.3830707445165277,0.5567528735632183,0.7479674796747967,0.00895096921322691,1408700,0.03885,predict_proba
HistGradientBoosting,0.49,17393,147,1844,616,0.25040650406504067,0.2904838253324531,0.8073394495412844,0.3822525597269625,0.5587808417997098,0.7495934959349594,0.008380843785632839,1407700,0.03815,predict_proba
HistGradientBoosting,0.5,17400,140,1846,614,0.24959349593495936,0.2897866717009628,0.8143236074270557,0.3820784069695084,0.5606281957633309,0.7504065040650406,0.00798175598631699,1409000,0.0377,predict_proba
HistGradientBoosting,0.51,17405,135,1851,609,0.2475609756097561,0.2876984126984127,0.8185483870967742,0.3801498127340824,0.5601545253863135,0.7524390243902439,0.007696693272519955,1401000,0.0372,predict_proba
HistGradientBoosting,0.52,17414,126,1857,603,0.2451219512195122,0.2852682372977576,0.8271604938271605,0.3781749764816557,0.5608258928571429,0.7548780487804878,0.007183580387685291,1394100,0.03645,predict_proba
HistGradientBoosting,0.53,17421,119,1860,600,0.24390243902439024,0.28411781418694954,0.8344923504867872,0.3774771940861906,0.5622188905547226,0.7560975609756098,0.006784492588369441,1392900,0.03595,predict_proba
HistGradientBoosting,0.54,17431,109,1862,598,0.24308943089430896,0.28349293638001327,0.8458274398868458,0.37764445847805495,0.5654311649016641,0.7569105691056911,0.006214367160775371,1396900,0.03535,predict_proba
HistGradientBoosting,0.55,17436,104,1864,596,0.24227642276422764,0.2827324478178368,0.8514285714285714,0.37721518987341773,0.5665399239543726,0.7577235772357723,0.005929304446978335,1396400,0.035,predict_proba
HistGradientBoosting,0.56,17438,102,1865,595,0.241869918699187,0.28233842649710544,0.8536585365853658,0.376940133037694,0.5668826219512195,0.758130081300813,0.005815279361459521,1395700,0.03485,predict_proba
HistGradientBoosting,0.57,17442,98,1869,591,0.24024390243902438,0.2806534333744895,0.8577648766328012,0.3753572562718323,0.5665260736196319,0.7597560975609756,0.005587229190421893,1389300,0.03445,predict_proba
HistGradientBoosting,0.58,17445,95,1876,584,0.23739837398373984,0.2775929270843236,0.8600883652430045,0.37209302325581395,0.5641421947449768,0.7626016260162601,0.005416191562143672,1374500,0.03395,predict_proba
HistGradientBoosting,0.59,17449,91,1878,582,0.23658536585365852,0.2768001521925235,0.8647845468053492,0.37152888605170764,0.5648291925465838,0.7634146341463415,0.005188141391106044,1373100,0.03365,predict_proba
HistGradientBoosting,0.6,17453,87,1884,576,0.23414634146341465,0.27420736932305056,0.8687782805429864,0.3688760806916426,0.5633802816901409,0.7658536585365854,0.004960091220068415,1361700,0.03315,predict_proba
HistGradientBoosting,0.61,17458,82,1887,573,0.2329268292682927,0.27298713673177705,0.8748091603053435,0.36789727126805777,0.5639763779527559,0.7670731707317073,0.004675028506271379,1358700,0.03275,predict_proba
HistGradientBoosting,0.62,17465,75,1895,565,0.22967479674796748,0.2695610687022901,0.8828125,0.36451612903225805,0.5627490039840638,0.7703252032520326,0.00427594070695553,1345000,0.032,predict_proba
HistGradientBoosting,0.63,17471,69,1898,562,0.22845528455284553,0.268360233024544,0.8906497622820919,0.36363636363636365,0.5638041733547352,0.7715447154471544,0.003933865450399088,1342900,0.03155,predict_proba
HistGradientBoosting,0.64,17474,66,1900,560,0.22764227642276422,0.26753296388304987,0.8945686900958466,0.36292935839274143,0.5640612409347301,0.7723577235772358,0.0037628278221208664,1340600,0.0313,predict_proba
HistGradientBoosting,0.65,17478,62,1908,552,0.22439024390243903,0.26401377463171993,0.8990228013029316,0.3591411841249187,0.5614320585842149,0.775609756097561,0.0035347776510832383,1324200,0.0307,predict_proba
HistGradientBoosting,0.66,17483,57,1911,549,0.22317073170731708,0.2627800114876508,0.905940594059406,0.35812133072407043,0.562039312039312,0.776829268292683,0.003249714937286203,1321200,0.0303,predict_proba
HistGradientBoosting,0.67,17486,54,1918,542,0.22032520325203253,0.2596780375622844,0.9093959731543624,0.35471204188481675,0.5594549958711809,0.7796747967479675,0.0030786773090079817,1306400,0.0298,predict_proba
HistGradientBoosting,0.68,17491,49,1922,538,0.2186991869918699,0.2579840797928455,0.9165247018739353,0.3531342303905481,0.5594841930116472,0.78130081300813,0.0027936145952109463,1300900,0.02935,predict_proba
